TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.avro.Schema,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5363063224057851,3201,2053
org.apache.avro.io.parsing.Symbol,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6384523568634253,1091,996
