"Famiglia","Classe","Mutanti","Uccisi","NonCoperti","MutCov%","TestStr%","JaCoCoLine%","JaCoCoBr%","Linee","Branch"
"evosuite60","Schema","450","155","170","34","55","64","42","457/712","171/406"
"evosuite60","Symbol","67","31","24","46","72","79","47","141/179","15/32"
