TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.avro.Schema,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45963116213684424,3181,1698
org.apache.avro.io.parsing.Symbol,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5224445833574223,1087,758
